S.No,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm),Xylene (ug/m3),TOT-RF (mm)
1407,07-May-2021 - 00:00,08-May-2021 - 00:00,7.53,27.51,15.65,18.06,22.33,25.08,14.33,0.09,24.06,1.88,6.89,31.32,75.47,2.07,191.18,180.81,748.7,-0.06,31.46,0.01,1.49,0.5
1408,08-May-2021 - 00:00,09-May-2021 - 00:00,8.88,26.89,9.4,15.35,15.89,17.14,13.87,0.13,22.53,1.26,4.18,28.36,74.79,2.09,186.57,173.42,748.4,-0.06,31.42,0,0.68,0
1409,09-May-2021 - 00:00,10-May-2021 - 00:00,11.63,39.78,12.07,22.57,21.91,17.44,13.54,0.14,22.59,1.86,6.69,28.46,74.35,2.29,204.14,166.51,747.39,-0.07,30.89,0,1.31,0
1410,10-May-2021 - 00:00,11-May-2021 - 00:00,11.37,48.63,15.35,25.03,25.88,17.44,13.97,0.12,22.74,2.5,8.6,28.67,73.83,2.49,206.73,160.85,746.62,-0.08,31.8,0,1.25,0
1411,11-May-2021 - 00:00,12-May-2021 - 00:00,11.44,37.2,13.87,29.83,27.23,17.46,12.1,0.08,22.75,2.23,4.86,28.69,75.99,3.03,215.23,140.84,746.5,-0.03,28.97,0.15,1.34,12
1412,12-May-2021 - 00:00,13-May-2021 - 00:00,17.07,52.15,18.32,37.05,34.71,19.22,13.02,0.19,21.27,3.47,17.91,28.87,73.3,2.62,214.42,237.43,745.07,-0.07,29.88,0,1.75,0
1413,13-May-2021 - 00:00,14-May-2021 - 00:00,12.81,46.74,17.05,29.45,29.26,22.76,11.5,0.17,6.72,2.32,5.32,29.82,76.86,3.05,211.38,153.95,744.49,-0.11,32.17,0,1.51,0
1414,14-May-2021 - 00:00,15-May-2021 - 00:00,21.58,59.61,17.44,35.6,33,29.54,11.48,0.17,5.61,2.77,6.32,30.53,73.67,2.22,216.35,149.36,744.61,-0.06,32.38,0,1.73,0
1415,15-May-2021 - 00:00,16-May-2021 - 00:00,14.88,36.03,12.53,21.25,21.58,23.34,13.33,0.36,5.33,1.47,8.89,29.25,74.9,1.87,182.19,191.67,745.62,-0.03,32.42,0,1.38,0
1416,16-May-2021 - 00:00,17-May-2021 - 00:00,4.65,13.8,3.82,6.04,6.21,19.47,14.11,0.32,6.65,0.48,1.88,28.99,75.39,1.78,131.55,188.83,746.41,-0.01,32.87,0,0.45,0
1417,17-May-2021 - 00:00,18-May-2021 - 00:00,6.61,24.05,9.33,18.52,17.53,19.82,12.54,0.56,5.27,1,2.34,29.47,74.61,2.11,178.46,201.8,746.48,-0.05,33.03,0,0.74,0
1418,18-May-2021 - 00:00,19-May-2021 - 00:00,9.81,36.15,12.67,28.49,25.54,18.42,12.67,0.56,4.66,1.29,7.87,29.44,74.2,2.63,205.12,190.11,746.21,-0.09,33.02,0,1,0
1419,19-May-2021 - 00:00,20-May-2021 - 00:00,15.24,60.22,18.25,32.65,32.3,16.2,12.07,0.68,5.45,2.22,12.3,29.56,74.03,2.86,216.34,187.81,745.45,-0.08,32.97,0,1.37,0
1420,20-May-2021 - 00:00,21-May-2021 - 00:00,13.63,46.94,12.62,31.7,27.2,18.89,11.79,0.54,5.47,1.86,7.3,29.74,73.57,3.07,210.23,186.53,744.96,-0.09,33.09,0,1.23,0
1421,21-May-2021 - 00:00,22-May-2021 - 00:00,28.48,54.95,10.04,35.45,27.13,22.01,12.34,0.57,5.92,2.62,9.98,29.68,72.78,2.85,214.37,232.5,744.41,-0.06,33.42,0,1.83,0
1422,22-May-2021 - 00:00,23-May-2021 - 00:00,25.77,66.79,8.71,32.84,24.7,23.21,11.04,0.62,7.89,2.56,9.13,29.38,75.88,2.31,202.11,160.38,743.21,0.01,28.66,0.53,1.51,29
1423,23-May-2021 - 00:00,24-May-2021 - 00:00,44.36,105.35,13.21,44.24,34.35,24.82,11.21,0.74,10.48,3.65,9.63,29.15,74.01,1.3,193.01,122.64,742.84,0.02,30.86,0,2.14,0
1424,24-May-2021 - 00:00,25-May-2021 - 00:00,63.11,163.16,18.56,51.63,42.63,23.22,8.35,0.74,6.87,5.75,22.96,28.89,72.93,1.24,227.72,37.04,741.8,0,31.79,0,4.94,0
1425,25-May-2021 - 00:00,26-May-2021 - 00:00,49.73,184.36,10.68,55.56,38.23,16.84,10.62,0.69,6.11,3.72,15.11,28.06,55.56,1.88,260.62,61.03,739.88,0,33.61,0,4.09,0
1426,26-May-2021 - 00:00,27-May-2021 - 00:00,36.79,153.75,7.4,56.84,36.26,19.61,12.47,0.72,7.32,4.13,22.57,32.04,43.82,2.97,259.95,174.15,737.75,0.01,38.06,0,2.39,0
1427,27-May-2021 - 00:00,28-May-2021 - 00:00,62.9,167.98,9.13,48.19,33.05,131.09,10.41,0.66,8.22,3.6,14.98,35.49,55.1,2.86,253.53,240.74,738.29,0,38.01,0,1.98,0
1428,28-May-2021 - 00:00,29-May-2021 - 00:00,40.3,120.35,2.93,19.79,12.11,38.09,27.17,1.77,26.82,2.33,4.78,29.1,66.97,0.59,162.74,235.37,742.95,-0.06,36.23,0.01,1.02,0.5
1429,29-May-2021 - 00:00,30-May-2021 - 00:00,30.92,134.22,6.15,38.18,25.24,25.66,11.54,1.1,20.47,2.43,16.44,28.98,71.9,2.37,203.28,167.85,744.58,-0.05,32.88,0,1.8,0
1430,30-May-2021 - 00:00,31-May-2021 - 00:00,43.93,120.16,5.15,31.21,20.67,21.96,11.6,0.55,22.09,3.2,10.54,28.49,75.72,2.31,202.8,163.28,744.12,-0.08,33.25,0,1.29,0
1431,31-May-2021 - 00:00,01-Jun-2021 - 00:00,34.74,106,4.76,34.38,22.12,17.85,12.43,0.65,21.05,3.36,5.79,28.03,75.59,2.8,210.01,114.63,743.4,-0.09,32.65,0,1.36,0
1432,01-Jun-2021 - 00:00,02-Jun-2021 - 00:00,31.16,70.62,4.24,23.03,15.7,17.23,10.9,0.38,24.26,2.76,6.87,28.45,75.05,2.66,182.31,211.21,744.95,-0.11,33.51,0,1.56,0
1433,02-Jun-2021 - 00:00,03-Jun-2021 - 00:00,28.79,65.69,5.84,24.77,17.93,14.7,11.53,0.61,23.86,2.01,5.04,28.04,77.58,2.28,184.27,140.93,746.12,-0.04,30.99,0.01,0.93,0.5
1434,03-Jun-2021 - 00:00,04-Jun-2021 - 00:00,24.22,64.56,9.05,37,27.04,14.46,13.29,1.55,19.39,1.87,4.78,28.06,76.98,1.66,201.91,98.91,747.22,-0.05,30.31,0,1.2,0
1435,04-Jun-2021 - 00:00,05-Jun-2021 - 00:00,30.45,72.85,11.77,34.53,27.93,13.3,12.9,0.49,19.69,2.57,8.94,28.04,74.49,2.53,212.82,181.32,747.61,-0.07,31.99,0,1,0
1436,05-Jun-2021 - 00:00,06-Jun-2021 - 00:00,16.61,49.68,13.08,23.77,23.28,12.39,12.06,0.43,18.51,1.17,3.75,28.15,73.53,2.95,205.42,185.46,747.24,-0.07,32.24,0,1.09,0
1437,06-Jun-2021 - 00:00,07-Jun-2021 - 00:00,11.21,40.52,14.46,21.32,23.1,13.77,14.05,0.35,18.44,1.46,7.77,28.35,73.59,3.04,203.83,195.04,746.98,-0.08,32.26,0,1.13,0
1438,07-Jun-2021 - 00:00,08-Jun-2021 - 00:00,26.27,64.39,9.53,31.64,24.58,14.49,12.93,0.46,19.23,2.18,5.79,28.01,73.66,2.88,206.88,192.56,745.83,-0.09,32.85,0,1.36,0
1439,08-Jun-2021 - 00:00,09-Jun-2021 - 00:00,34.32,97,8.49,39.88,28.2,16.19,13.38,0.46,19.57,2.31,6.48,27.73,72.03,2.6,220.71,128.88,744.33,-0.05,32.75,0,1.94,0
1440,09-Jun-2021 - 00:00,10-Jun-2021 - 00:00,32.97,98.43,10.66,38.74,29.36,17.16,12.4,0.58,20.52,2.26,7.58,28.24,72.49,2.54,221.67,127.62,742.94,-0.06,32.59,0.1,2.1,9.5
1441,10-Jun-2021 - 00:00,11-Jun-2021 - 00:00,43.65,97.19,18.13,47.4,40.04,17.03,12.97,0.78,12.82,3.16,9.07,27.08,71.9,1.99,235.17,79.01,741.61,-0.03,31.61,0,2.06,0
1442,11-Jun-2021 - 00:00,12-Jun-2021 - 00:00,31.13,77.11,16.42,42.63,36.47,14.43,10.64,0.82,7.69,2.59,10.89,27.28,72.25,2.43,246.55,70.77,740.84,-0.01,29.94,0,1.81,0
1443,12-Jun-2021 - 00:00,13-Jun-2021 - 00:00,26.45,62.74,13.06,42.46,33.28,15.75,9.28,0.51,7.41,2.5,11.56,27.36,71.8,2.22,258.85,87.49,741.06,0.01,30.18,0.01,1.98,0.5
1444,13-Jun-2021 - 00:00,14-Jun-2021 - 00:00,33.53,100.7,9.55,45.01,31.78,17.68,2.12,0.73,7.23,4.59,17.47,27.1,71.93,2.12,239.86,75.17,740.72,-0.02,30.69,0,1.54,0
1445,14-Jun-2021 - 00:00,15-Jun-2021 - 00:00,27.55,80.05,9.91,46.15,32.68,17.44,2.82,0.76,7.07,3.37,16.62,28.06,74.54,2.53,247.08,60.15,740.23,-0.01,29.48,0,1.8,0
1446,15-Jun-2021 - 00:00,16-Jun-2021 - 00:00,28.26,96.2,9.94,44.35,31.76,18.52,7.03,0.68,7.46,3.68,11.66,28.45,68.1,2.56,225.09,93.74,740.61,-0.05,31.97,0,1.95,0
1447,16-Jun-2021 - 00:00,17-Jun-2021 - 00:00,31.59,110.43,12.36,40.69,31.77,18.52,9.86,0.8,7.76,3.88,9.48,29.2,70.73,3.04,228.29,127.96,741.8,-0.06,32.06,0.04,1.99,3.5
1448,17-Jun-2021 - 00:00,18-Jun-2021 - 00:00,22.76,90.51,12.36,36.71,29.64,19.31,9.18,0.81,7.6,3.08,8.38,29.16,71.99,2.98,217.1,99.62,742.35,-0.1,30.76,0.09,1.68,9
1449,18-Jun-2021 - 00:00,19-Jun-2021 - 00:00,43.67,120.88,21.91,41.84,40.14,19.38,9.84,0.69,7.29,4.41,9.96,28.72,76.6,2.13,225.67,65.64,743.94,-0.05,29.2,0,2.33,0
1450,19-Jun-2021 - 00:00,20-Jun-2021 - 00:00,38.6,162.07,10.88,36.8,28.49,19.44,9.57,0.59,7.15,2.78,6.34,28.92,73.28,2.87,215.92,111.95,745.18,-0.06,31.07,0,1.54,0
1451,20-Jun-2021 - 00:00,21-Jun-2021 - 00:00,35.96,129.98,11.66,39.29,30.45,19.51,9.92,0.57,7.18,3.75,8.79,28.9,69.5,2.66,231.49,122.52,745.1,-0.03,31.82,0,1.84,0
1452,21-Jun-2021 - 00:00,22-Jun-2021 - 00:00,47.01,151.42,10.74,39.16,29.64,23.45,8.53,0.68,9.46,4.08,9.58,29.45,68.9,2.16,221.89,165.97,744.12,-0.01,33.64,0,2.25,0
1453,22-Jun-2021 - 00:00,23-Jun-2021 - 00:00,52.59,176.82,9.23,38.47,28.04,24.01,7.77,0.59,7.84,4.89,13.64,28.92,73.04,1.96,200.61,93.41,743.84,-0.02,31.71,0.01,1.88,0.5
1454,23-Jun-2021 - 00:00,24-Jun-2021 - 00:00,39.77,129.32,18.95,45.57,39.72,19.23,4.88,0.73,7.27,5.65,12.91,28.98,81.02,1.98,240.65,48.39,744.61,0,27.03,0.57,2.92,49
1455,24-Jun-2021 - 00:00,25-Jun-2021 - 00:00,31.49,79.64,12.19,38.16,30.29,16.95,8.69,0.55,7.63,2.85,14.94,29.22,73.34,2.53,251.23,139.12,744.17,0,30.23,0.01,1.81,0.5
1456,25-Jun-2021 - 00:00,26-Jun-2021 - 00:00,29.92,85.97,13.03,41.14,32.56,19.52,10.76,0.65,7.55,3.27,16.64,29.09,65.74,2.04,249.61,139.92,742.58,0.01,32.72,0,2.01,0
1457,26-Jun-2021 - 00:00,27-Jun-2021 - 00:00,41.2,124.88,12.51,39.53,31.2,25.59,7.11,0.66,9.41,3.97,16.23,29.03,72.03,1.47,203.86,116.29,742.75,-0.01,32.28,0,1.74,0
1458,27-Jun-2021 - 00:00,28-Jun-2021 - 00:00,30.17,93.49,6.61,29,20.88,22.03,8.94,0.6,10.42,2.53,10.62,28.92,76.14,2.04,169.7,165.8,744.85,-0.04,30.65,0,1.26,0
1459,28-Jun-2021 - 00:00,29-Jun-2021 - 00:00,18.68,47.58,7.97,29.76,22.39,18.29,9.88,0.5,9.04,1.54,5.79,28.93,78.53,2.42,188.59,186.01,746.04,-0.07,29.96,0.04,0.86,3.5
1460,29-Jun-2021 - 00:00,30-Jun-2021 - 00:00,29.94,82.61,8.62,35.32,25.85,18.36,10.6,0.59,7.63,2.36,6.49,29.12,76.51,2.79,207.61,162.14,745.68,-0.08,30.94,0,0.95,0
1461,30-Jun-2021 - 00:00,01-Jul-2021 - 00:00,30.03,95.38,11.35,34.31,27.57,18.72,9.74,0.69,7.41,3,6.1,28.98,75.15,3.13,211.84,154.11,744.82,-0.09,31.43,0,1.51,0
1462,01-Jul-2021 - 00:00,02-Jul-2021 - 00:00,29.24,118.53,10.37,39.87,29.72,19.22,9.4,0.57,7.92,3.18,10.82,29.26,71.29,2.81,217.55,175.68,743.51,-0.06,32.17,0,1.26,0
1463,02-Jul-2021 - 00:00,03-Jul-2021 - 00:00,26.27,80.67,21.74,40.11,39.08,19.61,9.28,0.77,7.54,3.75,12.83,28.79,82.43,2.13,233.61,39.59,744.59,-0.02,27.17,0.36,2.38,34.5
1464,03-Jul-2021 - 00:00,04-Jul-2021 - 00:00,22.78,70.73,16.31,36.56,32.79,20.95,10.38,0.51,7.65,3.21,12.56,28.94,80.21,2.29,219.78,147.18,744.92,-0.02,28.27,0.09,1.54,8
1465,04-Jul-2021 - 00:00,05-Jul-2021 - 00:00,33.95,81.81,17.59,41.92,36.68,19.6,9.52,0.62,8.17,3.91,12.96,28.91,80.31,2.09,229.4,131.84,745.02,-0.03,27.79,0.05,1.76,2.5
1466,05-Jul-2021 - 00:00,06-Jul-2021 - 00:00,29.31,90.27,17.43,44.43,37.88,21.73,10.17,0.6,7.56,1.22,6.61,28.79,79.56,1.9,204.18,134.72,744.58,-0.01,29.12,0.04,0.44,3.5
1467,06-Jul-2021 - 00:00,07-Jul-2021 - 00:00,35.67,101.76,17.15,44.73,37.82,23.62,8.79,0.84,8.33,2.77,3.58,29.39,79.15,2.02,211.7,133.46,743.84,-0.06,30.64,0,0.84,0
1468,07-Jul-2021 - 00:00,08-Jul-2021 - 00:00,44.04,118.3,14.24,46.45,36.36,25.39,7.37,0.72,7.97,5.9,15.25,29.07,79.36,2.23,209.26,127.43,743.79,-0.05,29.98,0.03,2.99,3
1469,08-Jul-2021 - 00:00,09-Jul-2021 - 00:00,37.91,132.71,17.04,56.87,44.17,21.23,8.72,0.94,7.66,6.28,27.87,28.43,80.67,1.06,232.99,44.8,743.81,-0.01,27.99,0,4.92,0
1470,09-Jul-2021 - 00:00,10-Jul-2021 - 00:00,46.88,142.11,25.07,57.6,51.1,21.09,6.24,1.11,9.71,8.85,24.98,28.73,75.86,1.44,207.04,170.31,742.58,-0.05,31.02,0,4.59,0
1471,10-Jul-2021 - 00:00,11-Jul-2021 - 00:00,30.34,77.88,9.78,49.75,34.49,24.76,8.95,0.81,8.84,5.28,15.22,28.59,77.3,1.71,228.95,111.78,741.73,-0.03,30.5,0,3.56,0
1472,11-Jul-2021 - 00:00,12-Jul-2021 - 00:00,20.29,45.29,6.56,26.36,19.42,23.55,10.76,0.7,16.98,2.64,18.07,28.63,81.16,1.67,158.2,129.8,741.8,0.04,28.97,0.27,1.71,19.5
1473,12-Jul-2021 - 00:00,13-Jul-2021 - 00:00,5.95,18.67,3.95,9.05,8.06,18.76,12.37,0.61,18.36,0.92,3.61,28.93,80.68,2.16,115.03,147.12,742.27,0.04,28.74,0.06,0.51,4
1474,13-Jul-2021 - 00:00,14-Jul-2021 - 00:00,22.78,61.72,19.66,43.44,39.16,20.52,10.97,0.96,7.45,5.69,24.05,28.51,85.51,1.35,224.23,32.31,742.65,0,26.24,0.02,3.11,2
1475,14-Jul-2021 - 00:00,15-Jul-2021 - 00:00,21.88,70.25,16.23,37.36,33.15,19.42,11.6,0.83,6.96,5.4,20.13,28.73,81.67,1.9,215.93,92.15,742.72,-0.04,27.54,0,2.43,0
1476,15-Jul-2021 - 00:00,16-Jul-2021 - 00:00,16.82,46.3,10.29,23.67,21.03,15.87,10.29,0.7,11.29,3.65,8.43,28.7,80.98,1.78,174.53,133.85,743.78,-0.01,28.2,0.04,1.74,4
1477,16-Jul-2021 - 00:00,17-Jul-2021 - 00:00,10.88,38.04,9.95,24.75,21.05,13.88,10.57,0.65,10.18,2.67,9.54,28.61,76.56,1.7,191.79,157.69,745.75,-0.03,29.8,0.03,2.13,3
1478,17-Jul-2021 - 00:00,18-Jul-2021 - 00:00,16.6,52.15,7,23.74,18.34,14.44,10.53,0.63,11.91,2.95,9.67,29.23,76.41,1.83,181.92,188.35,745.32,0,30.75,0,1.37,0
1479,18-Jul-2021 - 00:00,19-Jul-2021 - 00:00,10.95,42.99,8.77,26.55,21.33,13.75,11.38,0.69,7.23,2.46,7.35,28.73,76.97,2.11,201.64,151.92,743.99,-0.08,30.65,0,1.19,0
1480,19-Jul-2021 - 00:00,20-Jul-2021 - 00:00,19.15,62.5,14.59,39.81,33.12,14.07,10.03,0.76,7.83,4.35,25.47,29.16,78.38,2.29,229.92,155.9,742.72,-0.05,29.2,0.08,1.69,7.5
1481,20-Jul-2021 - 00:00,21-Jul-2021 - 00:00,15.43,45.58,18.63,44.46,38.87,17.02,11.41,0.83,8.94,4.13,19.47,30.99,76.23,1.96,231.31,151.38,741.86,0,31.18,0,3.26,0
1482,21-Jul-2021 - 00:00,22-Jul-2021 - 00:00,17.49,52.16,41.18,50.44,59.36,25.51,9.37,0.97,8.19,3.33,12.04,41.97,79.67,1.3,244.44,65.11,738.74,-0.01,27.38,0,3.19,0
1483,22-Jul-2021 - 00:00,23-Jul-2021 - 00:00,13.53,45.03,23.4,34.06,37.13,19.82,10.42,0.62,7.33,4.24,14.41,28.76,80.15,0.41,242.84,88.75,738.11,-0.01,26.51,0.01,2.83,1
1484,23-Jul-2021 - 00:00,24-Jul-2021 - 00:00,20.89,70.18,20.78,36.81,36.47,18.39,10.18,0.7,7.25,4.34,14.07,28.89,80.51,2.9,241.69,87.4,738.61,-0.02,26.93,0.01,2.87,1
1485,24-Jul-2021 - 00:00,25-Jul-2021 - 00:00,34.03,107.88,14.95,42.33,34.67,20.37,11.66,0.83,7.06,6.36,15.2,28.86,77.08,2.22,238.11,77,740.88,-0.01,28.42,0,3.71,0
1486,25-Jul-2021 - 00:00,26-Jul-2021 - 00:00,31.7,114.48,12.83,37.78,30.52,19.22,10.47,1.02,7.23,4.98,8.35,29.02,78.92,2.26,228.24,96.26,742.56,-0.03,29.93,0,2.06,0
1487,26-Jul-2021 - 00:00,27-Jul-2021 - 00:00,27.95,88.3,11.26,36.4,28.52,20.08,10.58,0.75,7.09,4.46,14.96,29.35,76.85,2.51,226.87,133.37,742.46,-0.05,30.56,0,2.53,0
1488,27-Jul-2021 - 00:00,28-Jul-2021 - 00:00,26.62,104.07,18.31,34.54,33.33,1.63,10.03,0.78,6.66,4.88,11.72,29.43,71.9,2.46,233.4,101.3,741.6,-0.03,31.77,0,2.84,0
1489,28-Jul-2021 - 00:00,29-Jul-2021 - 00:00,24.28,83.8,17.59,32.58,31.71,0.96,9.29,0.64,7.18,3.76,12.41,29.84,66.38,2.87,244.7,140.84,741.7,-0.01,32.47,0,2.81,0
1490,29-Jul-2021 - 00:00,30-Jul-2021 - 00:00,25.9,72.05,28.47,36.48,42.55,7.1,10.08,0.76,6.98,4.9,18.84,29.45,77.32,1.89,261.67,43.26,742.45,0,28.1,0.01,3.24,0.5
1491,30-Jul-2021 - 00:00,31-Jul-2021 - 00:00,26.06,84.01,20.41,41.03,38.5,21.57,9.09,0.69,6.99,3.92,18.13,29.14,70.43,1.94,242.12,93.48,743.22,-0.01,30.63,0,3.83,0
1492,31-Jul-2021 - 00:00,01-Aug-2021 - 00:00,26.5,92.07,16.46,36.7,32.98,26.28,10.33,0.7,6.78,3.6,13.65,30.32,66.07,2.7,249.81,129.09,743.44,0,32.11,0,3.1,0
1493,01-Aug-2021 - 00:00,02-Aug-2021 - 00:00,22.72,85.73,14.43,35.75,30.82,25.84,10.34,0.7,7.24,3.64,11.96,29.56,66.17,2.68,231.1,143.83,743.01,-0.03,32.67,0,2.71,0
1494,02-Aug-2021 - 00:00,03-Aug-2021 - 00:00,29.38,104.58,18.88,40.31,36.86,32.12,8.13,0.73,6.87,4.67,12.74,31.45,65.94,2.27,233.22,150.21,743.12,-0.03,33.72,0,3.05,0
1495,03-Aug-2021 - 00:00,04-Aug-2021 - 00:00,27.56,91.47,14.47,34.11,29.99,31.37,7.35,0.82,7.84,3.72,11.71,31.04,67.9,2.23,220.57,149.55,744.1,0.03,33,0,2.63,0
1496,04-Aug-2021 - 00:00,05-Aug-2021 - 00:00,28.04,110.4,17.67,42.58,37.09,28.88,9.22,0.88,7.3,7.81,25.04,30.11,67.71,2.26,214.2,152.68,743.89,-0.03,33.33,0.05,3.26,5
1497,05-Aug-2021 - 00:00,06-Aug-2021 - 00:00,27.21,102.56,25.49,42.07,43.17,31.21,14.39,0.84,7.55,6.5,19.01,32.01,73.44,1.74,232.71,98.36,742.21,0,31.23,0.05,4.34,4.5
1498,06-Aug-2021 - 00:00,07-Aug-2021 - 00:00,24.18,92.26,20.99,36.52,36.57,40.75,11.82,0.78,8.2,8.59,16.87,34.7,68.22,2.03,,130.76,741.92,0,33.12,0,4.7,0
1499,07-Aug-2021 - 00:00,08-Aug-2021 - 00:00,28.04,91.29,14.29,35.6,30.63,27.39,14.78,0.75,6.77,5.82,12.29,30.18,73.11,2.34,,127.48,744.19,-0.05,31.33,0,2.74,0
1500,08-Aug-2021 - 00:00,09-Aug-2021 - 00:00,25.24,54.09,9.21,29.99,23.51,18.46,13.2,0.65,6.93,2.71,6.27,27.45,77.04,2.71,,145.93,746.18,-0.09,31.29,0,1.83,0
1501,09-Aug-2021 - 00:00,10-Aug-2021 - 00:00,26.55,76.77,8.73,29.47,22.86,21.36,16.59,0.76,6.63,4.62,5.9,28.4,77.17,2.76,,160.66,746.29,-0.1,31.85,0,1.9,0
1502,10-Aug-2021 - 00:00,11-Aug-2021 - 00:00,40.36,108.76,11.1,39.25,29.97,18.38,15.75,0.84,6.15,4.61,8.12,27.46,73.17,2.43,,152.59,744.89,-0.03,33.48,0,2.75,0
1503,11-Aug-2021 - 00:00,12-Aug-2021 - 00:00,40.03,103.51,12.35,38.98,30.85,25.67,12.86,0.74,6.78,4.35,15.47,30.41,66.82,1.92,357,159.58,743.91,-0.02,34.3,0,4.16,0
1504,12-Aug-2021 - 00:00,13-Aug-2021 - 00:00,29.53,104.01,10.35,33.84,26.4,22.54,15.06,0.71,10.72,8.37,11.52,28.22,71.65,1.64,341,183.92,744.94,0.03,32.57,0,3.52,0
1505,13-Aug-2021 - 00:00,14-Aug-2021 - 00:00,29.25,71.98,13.1,31.4,27.44,17.02,14.24,0.76,30.35,4.02,12.09,28.74,72.94,2.76,,194.58,743.98,-0.01,31.34,0,2.78,0
1506,14-Aug-2021 - 00:00,15-Aug-2021 - 00:00,25.02,71.18,16.19,33.51,31.04,16.82,16.88,0.66,26.14,5.45,13.57,28.18,75.81,2.03,357,152.89,742.82,0.02,29.58,0,2.51,0
1507,15-Aug-2021 - 00:00,16-Aug-2021 - 00:00,29.58,80.47,20.47,41.36,38.72,19.26,16.18,0.77,11.1,10.58,14.18,27.79,73.58,1.36,56,101.18,742.88,0.01,30.33,0,2.82,0
1508,16-Aug-2021 - 00:00,17-Aug-2021 - 00:00,33.24,79.95,28.9,45.1,47.56,22.82,12.61,0.83,9.66,12.21,16.36,32.07,78.92,1.36,,95.17,743.25,0.03,28.96,0.03,5.3,2
1509,17-Aug-2021 - 00:00,18-Aug-2021 - 00:00,36.07,101.84,25.92,35.25,39.82,16.1,12.87,0.76,7.27,6.63,22.06,29.17,81.88,1.95,,63.46,744.14,-0.03,27.71,0.02,3.34,1.5
1510,18-Aug-2021 - 00:00,19-Aug-2021 - 00:00,31.21,92.06,14.08,37.52,31.53,12.16,17.47,0.9,6.79,6.76,9.21,27.45,77.48,2.73,,93.13,743.98,-0.08,29.2,0,3.08,0
1511,19-Aug-2021 - 00:00,20-Aug-2021 - 00:00,29.53,79.73,16.19,43.36,36.33,16.65,14.06,0.92,6.67,5.19,10.04,27.31,78.73,1.88,,79.22,744.12,-0.05,28.64,0,3.67,0
1512,20-Aug-2021 - 00:00,21-Aug-2021 - 00:00,31.84,91.83,21.06,43.39,40.28,15.07,12.8,1.11,6.67,4.12,7.32,27.01,86.6,1.49,,36.5,745.44,-0.01,25.86,0.22,2.87,20
1513,21-Aug-2021 - 00:00,22-Aug-2021 - 00:00,22.82,54.28,16.15,32.94,30.73,16.88,15.26,0.76,7.8,1.98,6.28,27.77,80.55,1.43,97,166.82,747.32,-0.04,28.51,0.02,1.94,1.5
1514,22-Aug-2021 - 00:00,23-Aug-2021 - 00:00,18.92,54.62,14.02,28.94,26.87,14.38,16.02,0.66,7.24,1.77,8.88,27.75,77.51,1.97,,164.94,747.48,-0.07,28.86,0,1.68,0
1515,23-Aug-2021 - 00:00,24-Aug-2021 - 00:00,21.33,74.89,14.73,32.23,29.2,16.06,16.83,0.74,7,2.52,10.9,28.61,76.42,2.33,,151.94,747,-0.05,30.04,0,1.69,0
1516,24-Aug-2021 - 00:00,25-Aug-2021 - 00:00,34.36,92.23,11.19,34.66,27.61,15.33,15.01,0.78,7.02,2.42,5.57,28.1,74.62,2.56,,163.48,746.16,-0.09,30.92,0,1.59,0
1517,25-Aug-2021 - 00:00,26-Aug-2021 - 00:00,48.64,88.53,14.83,41.73,34.28,17.26,16.08,0.79,7.03,5.23,8.55,27.75,77.47,2.36,,128.96,744.82,-0.04,29.26,0.06,2.46,5.5
1518,26-Aug-2021 - 00:00,27-Aug-2021 - 00:00,44,89.91,14.63,43.91,35.24,17.52,11.87,0.89,9.6,8.02,17.04,27.79,75.35,1.66,,141.29,743.32,0,30.31,0,2.92,0
1519,27-Aug-2021 - 00:00,28-Aug-2021 - 00:00,43.06,118.86,30.46,60.41,56.95,22.69,12.28,0.92,10.27,20.68,25.38,27.99,81.27,0.92,259,50.11,743.33,0,28.19,0.03,7.65,2
1520,28-Aug-2021 - 00:00,29-Aug-2021 - 00:00,41.07,103.78,22.13,44.54,41.76,19.02,14.5,0.93,9.2,9.81,35.32,27.44,80.59,0.84,247,74.89,742.16,0,27.3,0,5.62,0
1521,29-Aug-2021 - 00:00,30-Aug-2021 - 00:00,39.23,93.92,13.98,34.31,29.68,17.78,14.68,0.76,11.55,5.69,45.02,27.05,79.69,0.75,238,74,741.73,-0.02,28.14,0,3.33,0
1522,30-Aug-2021 - 00:00,31-Aug-2021 - 00:00,20.88,51.01,6.73,23.95,18.19,15,13.65,0.65,14.9,1.79,6.85,28.28,81.4,0.89,291.33,88.44,743.39,0.04,27.49,0.07,1.39,5
1523,31-Aug-2021 - 00:00,01-Sep-2021 - 00:00,16.54,41.99,10.4,31.83,25.47,11.65,15.08,0.85,10.75,0.14,0.18,27.74,83.35,0.85,315.67,93.12,745.89,0,26.88,0.03,0.3,2.5
1524,01-Sep-2021 - 00:00,02-Sep-2021 - 00:00,20.15,67.77,25.49,29.36,36.37,11.59,13.99,0.7,12.3,0.82,12.62,27.75,79.48,1.08,164.5,174.55,747,0.05,28.79,0,6.12,0
